SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,85.70
2,HEALTH-ISSUES,CONCERNED-PARENTS,65.70
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,39.25
4,HEALTH-ISSUES,MOCKING-BULLY,29.50
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,53.80
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,44.05
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,45.95
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,27.85
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,55.40
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,45.00
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,47.85
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,30.95
13,PERSONAL-VALUES,EXAMINING-DOCTOR,77.00
14,PERSONAL-VALUES,CONCERNED-PARENTS,56.50
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,50.00
16,PERSONAL-VALUES,MOCKING-BULLY,29.00